adsorbent,exp_SA
IYOWID_manual_DDEC.cif,4043.0
WEBREC_clean_DDEC.cif,101.0
TEMPAE_clean_DDEC.cif,1735.0
TEMPEI_clean_DDEC.cif,1041.0
LIDWIG_clean_DDEC.cif,95.5
DEYVUA.Non-disordered_MOF_subset_DDEC.cif,403.0
EBEWOZ01.Non-disordered_MOF_subset_DDEC.cif,585.0
YEYBOV.Non-disordered_MOF_subset_DDEC.cif,385.0
TIRQOB_clean_DDEC.cif,150.0
RUGZAW_clean_DDEC.cif,415.0
XIGFOJ_manual_DDEC.cif,880.0
ALAMUW_clean_DDEC.cif,2300.0
PUSDIR.Non-disordered_MOF_subset_DDEC.cif,824.0
CIFMIP_clean_DDEC.cif,240.6
CIFMEL_clean_DDEC.cif,17.4
CIFMAH_clean_DDEC.cif,132.3
BUYDAC.Non-disordered_MOF_subset_DDEC.cif,255.5
BUYDEG.Non-disordered_MOF_subset_DDEC.cif,288.7
LASYOU_clean_DDEC.cif,967.0
MIHHAN_SL_DDEC.cif,790.0
FULYIW.MOF_subset_DDEC.cif,36.0
LODTEF01.MOF_subset_DDEC.cif,30.0
BAKJEE_clean_DDEC.cif,900.0
BAKJOO_clean_DDEC.cif,654.0
XITYOP_clean_DDEC.cif,1753.0
BOVHEB_clean_DDEC.cif,387.0
QIHXIQ_clean_DDEC.cif,533.0
VETMIS_clean_DDEC.cif,961.0
QOTBAE.MOF_subset_DDEC.cif,587.3
TIVHAJ_freeONLY_DDEC.cif,155.0
SAKNOJ_clean_DDEC.cif,1067.0
CUYWUP_clean_DDEC.cif,382.0
FECZAQ_manual_DDEC.cif,1612.0
FECYUJ_clean_DDEC.cif,1163.0
EFESEP_clean_DDEC.cif,736.0
ZARZAV_clean_DDEC.cif,512.0
LEVLEF_clean_DDEC.cif,438.1
MUDKOM_clean_DDEC.cif,782.0
AHORAR.MOF_subset_DDEC.cif,381.0
QOCBEQ.MOF_subset_DDEC.cif,141.2
FANWOI.MOF_subset_DDEC.cif,969.0
ECASOS_clean_DDEC.cif,69.0
CENPUI_clean_DDEC.cif,1457.0
VICLAW_clean_DDEC.cif,275.8
REWNEO_clean_DDEC.cif,3120.0
AHOLAM.Non-disordered_MOF_subset_DDEC.cif,27.0
CIJBEE.Non-disordered_MOF_subset_DDEC.cif,771.0
TISHAF_clean_DDEC.cif,1121.0
KEDQAN_clean_DDEC.cif,588.0
XIFHIF_clean_DDEC.cif,1005.6
DUBXOP.MOF_subset_DDEC.cif,2052.0
QOPZIF_clean_DDEC.cif,1062.0
ZUJKAS.Non-disordered_MOF_subset_DDEC.cif,490.0
HIYGIH_clean_DDEC.cif,2171.0
ACUFEK_clean_DDEC.cif,3800.0
JAMSIC.Non-disordered_MOF_subset_DDEC.cif,584.0
JAMSOI.Non-disordered_MOF_subset_DDEC.cif,687.0
BUBJUF.Non-disordered_MOF_subset_DDEC.cif,125.0
NUVYEK.Non-disordered_MOF_subset_DDEC.cif,1410.0
NUVXOT_clean_DDEC.cif,1600.0
NUVYIO.Non-disordered_MOF_subset_DDEC.cif,2420.0
YUGLES_clean_DDEC.cif,1852.0
NOKLIJ_clean_DDEC.cif,1312.0
KACZIZ_clean_DDEC.cif,1716.0
KACZEV_clean_DDEC.cif,1496.0
VITHIR.Non-disordered_MOF_subset_DDEC.cif,330.0
YUVSUE.Non-disordered_MOF_subset_DDEC.cif,1040.0
EQERAU_clean_DDEC.cif,810.0
ECOLEP_clean_DDEC.cif,202.0
NIMXIS_clean_DDEC.cif,969.0
VEBHUG_SL_DDEC.cif,3409.0
BIDPOV_clean_DDEC.cif,2366.0
XUBGUY_clean_DDEC.cif,1039.0
TONQOD_clean_DDEC.cif,796.0
AHOZII.Non-disordered_MOF_subset_DDEC.cif,421.0
COJHIT_clean_DDEC.cif,2670.0
YIJYOH.Non-disordered_MOF_subset_DDEC.cif,7.52
KANMIX_clean_DDEC.cif,1003.0
QOZSIJ.Non-disordered_MOF_subset_DDEC.cif,1986.0
NEXVET_clean_DDEC.cif,3300.0
HUJGEA_clean_DDEC.cif,2025.0
BIYTEJ.Non-disordered_MOF_subset_DDEC.cif,279.0
PEMREG_clean_DDEC.cif,500.0
KETHEY02_clean_DDEC.cif,231.31
DOZCEC_clean_DDEC.cif,206.5
OYUJUO.Non-disordered_MOF_subset_DDEC.cif,1255.0
RIDGIW.Non-disordered_MOF_subset_DDEC.cif,900.0
PATWOY_clean_DDEC.cif,1356.2
FECXES_clean_DDEC.cif,1115.0
FECXAO_clean_DDEC.cif,1014.0
GIYJAB.Non-disordered_MOF_subset_DDEC.cif,332.5
FIDRIV_clean_DDEC.cif,407.5
FUFBEP.Non-disordered_MOF_subset_DDEC.cif,244.0
EQETAX_clean_DDEC.cif,969.8
SERLEI_clean_DDEC.cif,2823.0
LENKIA_clean_DDEC.cif,734.0
WOGHEG_clean_DDEC.cif,342.0
XALXUF_clean_DDEC.cif,2170.0
MEHMET_clean_DDEC.cif,2420.0
PEMRIK_clean_DDEC.cif,1175.0
KIDVIE_clean_DDEC.cif,420.0
UZARUK.MOF_subset_DDEC.cif,472.2
YAZFOW.Non-disordered_MOF_subset_DDEC.cif,1065.0
LUKLIN_clean_DDEC.cif,4237.0
KAFTUI_clean_DDEC.cif,378.0
OGOJAX_manual_DDEC.cif,2297.0
WOBQEL_clean_DDEC.cif,345.0
FOTNIN_clean_DDEC.cif,2008.0
UXINUL.Non-disordered_MOF_subset_DDEC.cif,32.0
BOYCEY_auto_DDEC.cif,2960.0
OHUKIM.Non-disordered_MOF_subset_DDEC.cif,4030.0
HANWAW_clean_DDEC.cif,605.9
COZMUA_clean_DDEC.cif,356.0
EWUCOP_clean_DDEC.cif,810.0
OTAXOX_clean_DDEC.cif,120.0
KEQJEX.Non-disordered_MOF_subset_DDEC.cif,523.0
QEJYIP_clean_DDEC.cif,498.2
PEQWAK_clean_DDEC.cif,191.0
XIVTED.Non-disordered_MOF_subset_DDEC.cif,2646.0
OGEBAF01_clean_DDEC.cif,3337.0
XOXMED_clean_DDEC.cif,400.0
RUHDEF.MOF_subset_DDEC.cif,911.0
XUXPUD.Non-disordered_MOF_subset_DDEC.cif,3270.0
MACHIJ_clean_DDEC.cif,1603.0
DOKDEN_clean_DDEC.cif,1715.0
UTULUR_SL_part_DDEC.cif,63.0
MAKXAZ_clean_DDEC.cif,88.4
GEGDED_clean_DDEC.cif,1733.0
SARNOQ_clean_DDEC.cif,780.0
BUSQIQ_clean_DDEC.cif,308.0
ISOJOQ.Non-disordered_MOF_subset_DDEC.cif,497.0
YOTHEW.MOF_subset_DDEC.cif,781.0
OPENUT_clean_DDEC.cif,502.0
PUJJEL_clean_DDEC.cif,1074.0
